               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0583,             0.91524,              1.0737,             0.82994,             0.68413,             0.80345,             0.49538,              1.2954,              0.7957,              1.2218,            0.070054,           0.0033273,           0.0033273
                   1,             0.96751,             0.64507,              1.0028,             0.82645,             0.68436,             0.80306,             0.49475,              1.3182,              0.8276,              1.2124,            0.039835,           0.0064408,           0.0064408
                   2,              1.0021,             0.66179,              1.0098,             0.80266,             0.66975,             0.77777,             0.47127,              1.3512,              0.8788,              1.2587,           0.0093948,           0.0093343,           0.0093343
                   3,              1.0046,             0.67746,              1.0231,             0.83359,             0.67084,              0.7924,             0.48803,              1.3189,             0.83733,              1.2385,             0.00901,             0.00901,             0.00901
                   4,             0.97239,             0.65439,              1.0137,             0.82852,             0.71385,               0.823,             0.50792,              1.3037,             0.80374,              1.2308,             0.00901,             0.00901,             0.00901
                   5,             0.93855,              0.6227,              1.0057,             0.83793,             0.68152,              0.7982,             0.49691,              1.3076,             0.83861,              1.2447,             0.00868,             0.00868,             0.00868
                   6,             0.92693,             0.61658,              1.0017,             0.82432,              0.7292,             0.83171,             0.51574,              1.2918,             0.78078,              1.2438,             0.00835,             0.00835,             0.00835
                   7,             0.90417,             0.59164,             0.99363,             0.84166,             0.71481,             0.82761,             0.51747,              1.2909,             0.75981,              1.2286,             0.00802,             0.00802,             0.00802
                   8,             0.88183,             0.57376,             0.98968,             0.83522,             0.71431,             0.82401,             0.51307,              1.2875,             0.75707,              1.2342,             0.00769,             0.00769,             0.00769
                   9,             0.87342,             0.56636,             0.98352,             0.84615,             0.72565,             0.83444,              0.5247,              1.2683,             0.73831,              1.2103,             0.00736,             0.00736,             0.00736
                  10,             0.87651,             0.56069,             0.98009,             0.84232,             0.72853,             0.83134,             0.52684,              1.2695,             0.74878,              1.2138,             0.00703,             0.00703,             0.00703
                  11,             0.85736,             0.54559,              0.9742,             0.85265,             0.74386,             0.85161,             0.53756,              1.2553,             0.70695,              1.2003,              0.0067,              0.0067,              0.0067
                  12,             0.85488,             0.54266,             0.97293,             0.84256,             0.74164,             0.84893,             0.53723,              1.2581,             0.70368,              1.2183,             0.00637,             0.00637,             0.00637
                  13,             0.83442,             0.52557,             0.96928,             0.85539,             0.75318,             0.85496,             0.53862,              1.2536,             0.70515,              1.2095,             0.00604,             0.00604,             0.00604
                  14,             0.83341,             0.52338,             0.96868,             0.85674,             0.76171,             0.86372,             0.54675,              1.2475,             0.68491,              1.2095,             0.00571,             0.00571,             0.00571
                  15,              0.7337,             0.45984,             0.97119,             0.85639,             0.74627,              0.8524,             0.53529,              1.2643,             0.71484,              1.2206,             0.00538,             0.00538,             0.00538
                  16,              0.7206,             0.44973,             0.96195,             0.85331,             0.74552,             0.84685,             0.53718,              1.2547,             0.71588,              1.1993,             0.00505,             0.00505,             0.00505
                  17,             0.72065,             0.44116,              0.9641,             0.86056,             0.74264,             0.85528,             0.54458,              1.2445,             0.69708,              1.2192,             0.00472,             0.00472,             0.00472
                  18,             0.70922,             0.43422,             0.96053,             0.85567,             0.74944,             0.85814,             0.54728,              1.2366,             0.69399,              1.2071,             0.00439,             0.00439,             0.00439
                  19,             0.70716,             0.42943,             0.95386,             0.86545,             0.76282,             0.86603,             0.55033,              1.2375,             0.67882,              1.1824,             0.00406,             0.00406,             0.00406
                  20,             0.70289,             0.41963,             0.94681,              0.8599,             0.76471,             0.86768,             0.55239,              1.2317,             0.67121,              1.1862,             0.00373,             0.00373,             0.00373
                  21,             0.68996,             0.40747,             0.94633,             0.85491,             0.77417,             0.87108,             0.55477,              1.2387,             0.65614,              1.1991,              0.0034,              0.0034,              0.0034
                  22,             0.69098,             0.40276,             0.93561,             0.86131,             0.77626,             0.87325,             0.55916,              1.2341,             0.64259,              1.1674,             0.00307,             0.00307,             0.00307
                  23,              0.6786,             0.39534,             0.93699,             0.86557,             0.77459,              0.8766,             0.56213,              1.2148,             0.65457,              1.1808,             0.00274,             0.00274,             0.00274
                  24,             0.67361,             0.39071,             0.93886,             0.86249,              0.7821,             0.87776,             0.56387,              1.2195,             0.64889,              1.1854,             0.00241,             0.00241,             0.00241
                  25,             0.67105,             0.38703,             0.93914,             0.86887,             0.78289,             0.88019,              0.5682,              1.2186,             0.64078,              1.1753,             0.00208,             0.00208,             0.00208
                  26,             0.65558,             0.37305,             0.93371,             0.87154,             0.78455,             0.88037,             0.56566,              1.2193,             0.63629,              1.1854,             0.00175,             0.00175,             0.00175
                  27,             0.66213,             0.37174,             0.93247,             0.87274,             0.78352,             0.88314,             0.57045,              1.2106,             0.63118,              1.1808,             0.00142,             0.00142,             0.00142
                  28,             0.65172,             0.36397,             0.92809,              0.8714,              0.7866,             0.88316,             0.57174,              1.2113,             0.62169,              1.1756,             0.00109,             0.00109,             0.00109
                  29,             0.64313,             0.35672,             0.92701,             0.87122,             0.79474,             0.88684,             0.57386,              1.2099,             0.61753,              1.1837,             0.00076,             0.00076,             0.00076
